date,time,en_base_asset,amount_precision,base_asset,categories,change_24h,change_7D,created_at,en_base_asset,en_quote_asset,fa_base_asset,fa_quote_asset,flags,is_margin,is_market_type_enable,is_new,is_otc,is_spot,is_tmn_based,is_usdt_based,is_zero_fee,leverage_step,max_leverage,otc_is_new,price,price_precision,quote_asset,quote_volume_24h,spot_is_new,symbol,volume_24h
2025-08-24,17:10:53,Ethereum,5,ETH,"[13, 16, 44, 53]",1.77,0.52,2020-05-01T00:00:00Z,Ethereum,Toman,اتریوم,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,452749982,0,TMN,112978743376.05986,False,ETHTMN,251.78532154
2025-08-24,17:10:53,Tether,2,USDT,[1],0.65,1.26,2020-01-01T00:00:00Z,Tether,Toman,تتر,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,94883,0,TMN,69725777535.67773,False,USDTTMN,739254.6160238
2025-08-24,17:10:53,Bitcoin,6,BTC,[44],0.33,-0.41,2020-04-01T00:00:00Z,Bitcoin,Toman,بیت کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,10871205954,0,TMN,42645789825.94987,False,BTCTMN,3.93769962
2025-08-24,17:10:53,Memecoin,4,MEME,[4],22.87,6.08,2024-08-13T00:00:00Z,Memecoin,Toman,میم کوین,تومان,[],False,True,False,True,True,True,False,False,,,False,419,0,TMN,34020257899.8888,False,MEMETMN,92882860.10403132
2025-08-24,17:10:53,Ripple,1,XRP,"[13, 44, 53]",0.7,-0.35,2020-11-01T00:00:00Z,Ripple,Toman,ریپل,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,286089,0,TMN,32819748439.560703,False,XRPTMN,115084.70797708
2025-08-24,17:10:53,Pepe,0,PEPE,[4],-3.38,-4.38,2023-05-24T00:00:00Z,Pepe,Toman,پپه,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,1.0289,4,TMN,32510139306.697826,False,PEPETMN,31195352561.95807
2025-08-24,17:10:53,Solana,5,SOL,"[16, 44]",2.69,3.84,2022-03-16T00:00:00Z,Solana,Toman,سولانا,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,19449887,0,TMN,29893599211.590683,False,SOLTMN,1539.04979778
2025-08-24,17:10:53,Dogecoin,1,DOGE,[4],-1.21,-1.7,2022-12-18T00:00:00Z,Dogecoin,Toman,دوج کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,21922,0,TMN,29558192078.318134,False,DOGETMN,1342490.4867377
2025-08-24,17:10:53,Arbitrum,4,ARB,"[13, 16, 35, 38]",-2.35,-1.31,2023-07-17T00:00:00Z,Arbitrum,Toman,اربیتروم,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,54516,0,TMN,19766708566.77667,False,ARBTMN,352626.36895406
2025-08-24,17:10:53,PolkaStarter,1,POLS,"[13, 22]",-1.62,-6.08,2022-05-25T00:00:00Z,PolkaStarter,Toman,پولکا استارتر,تومان,['isRisky'],False,True,False,True,True,True,False,False,,,False,18501,0,TMN,18627630919,False,POLSTMN,961996.28837422
2025-08-24,17:10:53,SONIC,2,S,"[13, 16, 44, 53]",-0.37,-1.62,2025-01-14T00:00:00Z,SONIC,Toman,سونیک,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,32111,0,TMN,16309801060.04435,False,STMN,509777.46318232
2025-08-24,17:10:53,Chainlink,2,LINK,"[13, 22, 19, 50]",0.19,-2.01,2021-12-16T00:00:00Z,Chainlink,Toman,چین لینک,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,2449999,0,TMN,12649019544.725441,False,LINKTMN,5189.0843103
2025-08-24,17:10:53,NOTCOIN,0,NOT,"[4, 22, 25]",-2.96,-2.08,2024-06-11T00:00:00Z,NOTCOIN,Toman,نات کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,183.4,1,TMN,12512665473,False,NOTTMN,67574310.99740852
2025-08-24,17:10:53,Mog Coin,1,MOG,"[4, 100001]",-96.62,-96.62,2025-08-20T00:00:00Z,Mog Coin,Toman,ماگ کوین,تومان,[],False,True,True,True,True,True,False,False,,,True,0.1049,4,TMN,11804364942.480103,True,MOGTMN,110321450752.24783
2025-08-24,17:10:53,Cardano,1,ADA,"[13, 16, 44]",-0.38,-0.7,2021-05-01T00:00:00Z,Cardano,Toman,کاردانو,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,85395,0,TMN,10493349100.8,False,ADATMN,122792.50057266
2025-08-24,17:10:53,FLOKI,0,FLOKI,[4],-1.18,-4.83,2023-05-28T00:00:00Z,FLOKI,Toman,فلوکی اینو,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,9.8505,4,TMN,9675411181.5346,False,FLOKITMN,980076719.2879962
2025-08-24,17:10:53,TRON,1,TRX,"[13, 16, 44]",1.04,0.49,2021-02-01T00:00:00Z,TRON,Toman,ترون,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,34563,0,TMN,9079950006.000645,False,TRXTMN,264437.86061726
2025-08-24,17:10:53,X,2,X,[25],-2.3,-2.84,2024-10-24T00:00:00Z,X,Toman,ایکس امپایر,تومان,['isRisky'],True,True,False,True,True,True,False,False,0.5,10,False,5.1497,4,TMN,7551424647.51125,False,XTMN,1464407121.058165
2025-08-24,17:10:53,Shiba Inu,0,SHIB,[4],-0.74,-1.18,2022-12-18T00:00:00Z,Shiba Inu,Toman,شیبا,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,1.2287,4,TMN,7228375936.7508,False,SHIBTMN,5897722111.075733
2025-08-24,17:10:53,Binance Coin,5,BNB,"[13, 16, 44, 7]",-2.76,-2.48,2021-06-01T00:00:00Z,Binance Coin,Toman,بایننس کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,81721588,0,TMN,6782235839.633386,False,BNBTMN,81.95763362
2025-08-24,17:10:53,Ethereum Classic,5,ETC,"[16, 22, 44]",-2.2,-4.53,2022-05-08T00:00:00Z,Ethereum Classic,Toman,اتریوم کلاسیک,تومان,['isRisky'],False,True,False,True,True,True,False,False,,,False,2214358,0,TMN,5351198063.13034,False,ETCTMN,2373.64315072
2025-08-24,17:10:53,PancakeSwap,2,CAKE,"[13, 7]",-1.47,-3.21,2021-12-15T00:00:00Z,PancakeSwap,Toman,پنکیک سواپ,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,257598,0,TMN,4045824442.9603724,False,CAKETMN,15702.69246072
2025-08-24,17:10:53,CATS,1,CATS,[25],-3.07,-5.02,2024-10-08T00:00:00Z,CATS,Toman,کتز,تومان,[],False,True,False,True,True,True,False,False,,,False,0.20899,5,TMN,4010418883.836686,False,CATSTMN,18969003586.499126
2025-08-24,17:10:53,Pump fun,1,PUMP,"[13, 100001]",-5.37,-5.37,2025-08-20T00:00:00Z,Pump fun,Toman,پامپ فان,تومان,[],False,True,True,True,True,True,False,False,,,True,282,0,TMN,3873598848.4,True,PUMPTMN,13114179.5230366
2025-08-24,17:10:53,Aave,5,AAVE,[13],-2.97,2.72,2022-05-15T00:00:00Z,Aave,Toman,آوه,تومان,[],False,True,False,True,True,True,False,False,,,False,33030642,0,TMN,3797295995.35282,False,AAVETMN,113.07558402
2025-08-24,17:10:53,Ton,2,TON,"[16, 44, 53]",-0.29,-2.35,2024-04-23T00:00:00Z,Ton,Toman,تون کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,314857,0,TMN,3705666794.654976,False,TONTMN,11707.8780394
2025-08-24,17:10:53,dogwifhat,2,WIF,[4],-0.63,-3.91,2025-02-18T00:00:00Z,dogwifhat,Toman,داگ ویف هت,تومان,[],False,True,False,True,True,True,False,False,,,False,83000,1,TMN,3292164659.62,False,WIFTMN,39462.7723054
2025-08-24,17:10:53,Uniswap,2,UNI,"[13, 7]",-0.87,-1.93,2021-12-17T00:00:00Z,Uniswap,Toman,یونی سوآپ,تومان,[],False,True,False,True,True,True,False,False,,,False,1046450,0,TMN,3099640288.58,False,UNITMN,2939.9
2025-08-24,17:10:53,Polkadot,2,DOT,"[22, 44]",0.04,-0.83,2021-01-01T00:00:00Z,Polkadot,Toman,پولکادات,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,386776,0,TMN,2554277752.62663,False,DOTTMN,6543.10695534
2025-08-24,17:10:53,Worldcoin,2,WLD,[22],-3.87,-4.45,2024-04-23T00:00:00Z,Worldcoin,Toman,ورلد کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,91462,0,TMN,2550777231.46,False,WLDTMN,27559.29712634
2025-08-24,17:15:54,Ethereum,5,ETH,"[13, 16, 44, 53]",1.78,0.37,2020-05-01T00:00:00Z,Ethereum,Toman,اتریوم,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,452049107,0,TMN,112858657538.2559,False,ETHTMN,251.50998154
2025-08-24,17:15:54,Tether,2,USDT,[1],0.91,1.38,2020-01-01T00:00:00Z,Tether,Toman,تتر,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,94993,0,TMN,69003760986.48253,False,USDTTMN,731570.31105267
2025-08-24,17:15:54,Bitcoin,6,BTC,[44],0.39,-0.4,2020-04-01T00:00:00Z,Bitcoin,Toman,بیت کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,10872255754,0,TMN,40971907072.163506,False,BTCTMN,3.78310158
2025-08-24,17:15:54,Memecoin,4,MEME,[4],19.23,2.03,2024-08-13T00:00:00Z,Memecoin,Toman,میم کوین,تومان,[],False,True,False,True,True,True,False,False,,,False,403,0,TMN,34069019945.6016,False,MEMETMN,92997928.15257946
2025-08-24,17:15:54,Ripple,1,XRP,"[13, 44, 53]",0.87,-0.03,2020-11-01T00:00:00Z,Ripple,Toman,ریپل,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,286992,0,TMN,32813067101.560703,False,XRPTMN,115060.70395476
2025-08-24,17:15:54,Pepe,0,PEPE,[4],-3.37,-4.71,2023-05-24T00:00:00Z,Pepe,Toman,پپه,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,1.0253,4,TMN,32684687402.361824,False,PEPETMN,31365949893.95807
2025-08-24,17:15:54,Solana,5,SOL,"[16, 44]",3.1,3.84,2022-03-16T00:00:00Z,Solana,Toman,سولانا,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,19449900,0,TMN,30033293367.768784,False,SOLTMN,1546.18693778
2025-08-24,17:15:54,Dogecoin,1,DOGE,[4],-0.89,-1.67,2022-12-18T00:00:00Z,Dogecoin,Toman,دوج کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,21928,0,TMN,29244752638.718132,False,DOGETMN,1328346.8867377
2025-08-24,17:15:54,Arbitrum,4,ARB,"[13, 16, 35, 38]",-2.08,-1.3,2023-07-17T00:00:00Z,Arbitrum,Toman,اربیتروم,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,54519,0,TMN,19784345975.05227,False,ARBTMN,352955.78760092
2025-08-24,17:15:54,PolkaStarter,1,POLS,"[13, 22]",1.04,-3.54,2022-05-25T00:00:00Z,PolkaStarter,Toman,پولکا استارتر,تومان,['isRisky'],False,True,False,True,True,True,False,False,,,False,19000,0,TMN,18627771519,False,POLSTMN,962003.68837422
2025-08-24,17:15:54,SONIC,2,S,"[13, 16, 44, 53]",-0.38,-1.99,2025-01-14T00:00:00Z,SONIC,Toman,سونیک,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,31990,0,TMN,15909509152.74435,False,STMN,497327.48318232
2025-08-24,17:15:54,Chainlink,2,LINK,"[13, 22, 19, 50]",0.91,-1.75,2021-12-16T00:00:00Z,Chainlink,Toman,چین لینک,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,2456448,0,TMN,12768094588.82544,False,LINKTMN,5237.6843103
2025-08-24,17:15:54,NOTCOIN,0,NOT,"[4, 22, 25]",-2.76,-2.08,2024-06-11T00:00:00Z,NOTCOIN,Toman,نات کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,183.4,1,TMN,12401024968.4,False,NOTTMN,66984416.99740852
2025-08-24,17:15:54,Mog Coin,1,MOG,"[4, 100001]",-96.61,-96.61,2025-08-20T00:00:00Z,Mog Coin,Toman,ماگ کوین,تومان,[],False,True,True,True,True,True,False,False,,,True,0.105,4,TMN,11811913591.681961,True,MOGTMN,110393345869.24783
2025-08-24,17:15:54,Cardano,1,ADA,"[13, 16, 44]",-0.65,-0.66,2021-05-01T00:00:00Z,Cardano,Toman,کاردانو,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,85436,0,TMN,10498625017.4,False,ADATMN,122856.10057266
2025-08-24,17:15:54,FLOKI,0,FLOKI,[4],-1.01,-4.83,2023-05-28T00:00:00Z,FLOKI,Toman,فلوکی اینو,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,9.8505,4,TMN,9662355291.7118,False,FLOKITMN,978766965.2879962
2025-08-24,17:15:54,TRON,1,TRX,"[13, 16, 44]",1.04,0.49,2021-02-01T00:00:00Z,TRON,Toman,ترون,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,34563,0,TMN,9050277442.200645,False,TRXTMN,263569.92221226
2025-08-24,17:15:54,X,2,X,[25],-2.23,-2.84,2024-10-24T00:00:00Z,X,Toman,ایکس امپایر,تومان,['isRisky'],True,True,False,True,True,True,False,False,0.5,10,False,5.1497,4,TMN,7552127926.331694,False,XTMN,1464543807.9781651
2025-08-24,17:15:54,Shiba Inu,0,SHIB,[4],-0.69,-1.18,2022-12-18T00:00:00Z,Shiba Inu,Toman,شیبا,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,1.2287,4,TMN,7227628305.5508,False,SHIBTMN,5897118111.075733
2025-08-24,17:15:54,Binance Coin,5,BNB,"[13, 16, 44, 7]",-1.84,-2.18,2021-06-01T00:00:00Z,Binance Coin,Toman,بایننس کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,81974871,0,TMN,6838733532.741066,False,BNBTMN,82.65059362
2025-08-24,17:15:54,Ethereum Classic,5,ETC,"[16, 22, 44]",-2.2,-4.53,2022-05-08T00:00:00Z,Ethereum Classic,Toman,اتریوم کلاسیک,تومان,['isRisky'],False,True,False,True,True,True,False,False,,,False,2214358,0,TMN,5351198063.13034,False,ETCTMN,2373.64315072
2025-08-24,17:15:54,PancakeSwap,2,CAKE,"[13, 7]",-1.47,-3.21,2021-12-15T00:00:00Z,PancakeSwap,Toman,پنکیک سواپ,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,257598,0,TMN,4030827670.9603724,False,CAKETMN,15645.33246072
2025-08-24,17:15:54,Pump fun,1,PUMP,"[13, 100001]",-5.7,-5.7,2025-08-20T00:00:00Z,Pump fun,Toman,پامپ فان,تومان,[],False,True,True,True,True,True,False,False,,,True,281,0,TMN,3876628646.6,True,PUMPTMN,13124961.7230366
2025-08-24,17:15:54,Aave,5,AAVE,[13],-2.97,2.72,2022-05-15T00:00:00Z,Aave,Toman,آوه,تومان,[],False,True,False,True,True,True,False,False,,,False,33030642,0,TMN,3797295995.35282,False,AAVETMN,113.07558402
2025-08-24,17:15:54,CATS,1,CATS,[25],-2.8,-5.02,2024-10-08T00:00:00Z,CATS,Toman,کتز,تومان,[],False,True,False,True,True,True,False,False,,,False,0.20899,5,TMN,3744384037.301152,False,CATSTMN,17733836414.899124
2025-08-24,17:15:54,Ton,2,TON,"[16, 44, 53]",-0.12,-2.35,2024-04-23T00:00:00Z,Ton,Toman,تون کوین,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,314857,0,TMN,3647702180.9949756,False,TONTMN,11524.28887054
2025-08-24,17:15:54,Uniswap,2,UNI,"[13, 7]",-0.87,-1.93,2021-12-17T00:00:00Z,Uniswap,Toman,یونی سوآپ,تومان,[],False,True,False,True,True,True,False,False,,,False,1046451,0,TMN,3151188464.84,False,UNITMN,2989.16
2025-08-24,17:15:54,dogwifhat,2,WIF,[4],-1.18,-3.91,2025-02-18T00:00:00Z,dogwifhat,Toman,داگ ویف هت,تومان,[],False,True,False,True,True,True,False,False,,,False,83000,1,TMN,2650114456.146,False,WIFTMN,31752.8723054
2025-08-24,17:15:54,Polkadot,2,DOT,"[22, 44]",0.04,-0.83,2021-01-01T00:00:00Z,Polkadot,Toman,پولکادات,تومان,[],True,True,False,True,True,True,False,False,0.5,10,False,386776,0,TMN,2553156522.7266297,False,DOTTMN,6540.20695534
